"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"Antidiabetic"
"7319"	"Mixtard 20 Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd)"	"Insulin"	"20unit/1ml + 80unit/1ml"	"Suspension for injection"	"Subcutaneous"	"00000000"	"Insulin"
"7325"	"Avandamet 4mg/1000mg tablets (GlaxoSmithKline UK Ltd)"	"Metformin/Rosiglitazone"	"4mg + 1gram"	"Tablet"	"Oral"	"00000000"	"Metformin/Rosiglitazone"
"7332"	"Amaryl 1mg tablets (Zentiva)"	"Glimepiride"	"1mg"	"Tablet"	"Oral"	"06010201"	"Glimepiride"
"7349"	"Actrapid 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"06010101"	"Insulin"
"7350"	"Insulin isophane porcine 100units/ml suspension for injection 10ml vials"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"06010102"	"Insulin"
"7375"	"Rosiglitazone 4mg / Metformin 1g tablets"	"Metformin/Rosiglitazone"	"4mg + 1gram"	"Tablet"	"Oral"	"00000000"	"Metformin/Rosiglitazone"
"7393"	"Insulin glargine 100units/ml solution for injection 3ml cartridges"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"06010102"	"Insulin"
"7400"	"Insulin glargine 100units/ml solution for injection 3ml pre-filled disposable devices"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"06010102"	"Insulin"
"7402"	"Lantus 100units/ml solution for injection 10ml vials (Sanofi)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"06010102"	"Insulin"
"7409"	"Amaryl 3mg tablets (Zentiva)"	"Glimepiride"	"3mg"	"Tablet"	"Oral"	"06010201"	"Glimepiride"
"7412"	"U100 Insulin syringe 0.5ml"	"Insulin"	"0.5ml"	"Insulin Syringe"	NA	"06010103"	"Insulin"
"7537"	"Humulin Zn 100units/ml suspension for injection 10ml vials (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"00000000"	"Insulin"
"7610"	"Glucophage 850mg tablets (Merck Serono Ltd)"	"Metformin"	"850mg"	"Tablet"	"Oral"	"06010202"	"Metformin"
"7744"	"Daonil 5mg tablets (Sanofi)"	"Glibenclamide"	"5mg"	"Tablet"	"Oral"	"06010201"	"Glibenclamide"
"7757"	"INSULIN NEULENTE (ZINC SUSP)(PURIFIED) 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"7763"	"INSULIN NEUPHANE (ISOPHANE)(PURIFIED) 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"7764"	"INSULIN NEUSULIN (NEUTRAL)(PURIFIED) 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"7765"	"INSULIN NEUTRAL (HUMAN) 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"7771"	"Human protaphane penfill 100 100unit/ml Penfill (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010102"	"Insulin"
"7772"	"Human protaphane 100unit/ml Injection (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010102"	"Insulin"
"7783"	"INSULIN ISOPHANE (HUMAN) 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"7793"	"HumaJect M3 Pen 100units/ml suspension for injection (Eli Lilly and Company Ltd)"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"00000000"	"Insulin"
"7815"	"METFORMIN 800 MG TAB"	"Metformin"	NA	"Tablet"	"Oral"	"00000000"	"Metformin"
"7861"	"INSULIN HUMULIN S (NEUTRAL) CARTRIDGE 100 I/U"	"Insulin"	NA	NA	NA	"00000000"	"Insulin"
"7912"	"Semi-Daonil 2.5mg tablets (Sanofi)"	"Glibenclamide"	"2.5mg"	"Tablet"	"Oral"	"06010201"	"Glibenclamide"
"7959"	"INSULIN MIXTARD 30/70 40 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"8034"	"Diabinese 100mg Tablet (Pfizer Ltd)"	"Chlorpropamide"	"100mg"	"Tablet"	"Oral"	"06010201"	"Chlorpropamide"
"8118"	"Humaject i 100iu/ml Pen (Eli Lilly and Company Ltd)"	"Insulin"	"100iu/ml"	"Pen"	"Subcutaneous Injection"	"06010102"	"Insulin"
"8168"	"Diabinese 250mg Tablet (Pfizer Ltd)"	"Chlorpropamide"	"250mg"	"Tablet"	"Oral"	"06010201"	"Chlorpropamide"
"8203"	"Penmix 50/50 100iu/ml Penfill (Novo Nordisk Ltd)"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010102"	"Insulin"
"8322"	"Insulin zinc suspension mixed human pyr 100unit/ml Injection"	"Insulin"	"100unit/ml"	"Injection"	"Intramuscular"	"06010102"	"Insulin"
"8354"	"INSULIN ISOPHANE 70%/NEUTRAL 30% 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"8376"	"INSULIN ISOPHANE 100 I/U"	"Insulin"	NA	NA	NA	"00000000"	"Insulin"
"8483"	"MONOJECT INSULIN NEEDLES"	"Insulin"	NA	NA	NA	"00000000"	"Insulin"
"8646"	"INSULIN ZINC CRYSTALLINE susp 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"8838"	"INSULIN SEMITARD 40 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"8839"	"INSULIN SEMITARD 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"8841"	"Humulin M5 100units/ml suspension for injection 10ml vials (Eli Lilly and Company Ltd)"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Suspension for injection"	"Subcutaneous"	"00000000"	"Insulin"
"8895"	"Initard 50/50 100unit/ml Injection (Novo Nordisk Ltd)"	"Insulin"	"100unit/ml"	"Injection"	"Intramuscular"	"06010102"	"Insulin"
"8976"	"Euglucon 2.5mg tablets (Aventis Pharma)"	"Glibenclamide"	"2.5mg"	"Tablet"	"Oral"	"06010201"	"Glibenclamide"
"9079"	"INSULIN SOLUBLE 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"9105"	"Glucobay 100mg tablets (Bayer Plc)"	"Acarbose"	"100mg"	"Tablet"	"Oral"	"06010203"	"Acarbose"
"9108"	"TOLBUTAMIDE 250 MG TAB"	"Tolbutamide"	NA	"Tablet"	"Oral"	"00000000"	"Tolbutamide"
"9341"	"Insulin biphasic isophane human prb 30:70; 100 units/ml Injection"	"Insulin"	"30:70; 100 Units/ml"	"Injection"	"Intramuscular"	"06010102"	"Insulin"
"9363"	"U100 Insulin syringe 0.5ml"	"Insulin"	"0.5ml"	"Insulin Syringe"	NA	"06010103"	"Insulin"
"9376"	"Insulin zinc suspension crystalline human pyr 100unit/ml long acting Injection"	"Insulin"	"100unit/ml"	"Injection"	"Intramuscular"	"06010102"	"Insulin"
"9503"	"Hypurin Bovine Protamine Zinc 100units/ml suspension for injection 10ml vials (Wockhardt UK Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010102"	"Insulin"
"9521"	"Pork Actrapid 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous/Intramuscular"	"06010101"	"Insulin"
"9565"	"HumaJect S Pen 100units/ml solution for injection (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"00000000"	"Insulin"
"9578"	"Unifine Pentips hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge (Owen Mumford Ltd)"	"Insulin"	"12mm/29gauge"	"Pen Needle"	NA	"71190600"	"Insulin"
"9618"	"Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 1.5ml cartridges (C P Pharmaceuticals Ltd)"	"Insulin"	"70unit/1ml + 30unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"00000000"	"Insulin"
"9619"	"Bd Ultra Pen 1.5ml Insulin pen (Becton, Dickinson UK Ltd)"	"Insulin"	"1.5ml"	"Insulin Pen"	NA	"06010103"	"Insulin"
"9662"	"Avandia 4mg tablets (GlaxoSmithKline UK Ltd)"	"Rosiglitazone"	"4mg"	"Tablet"	"Oral"	"00000000"	"Rosiglitazone"
"9699"	"Pioglitazone 30mg tablets"	"Pioglitazone"	"30mg"	"Tablet"	"Oral"	"06010203"	"Pioglitazone"
"9702"	"BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12.7mm needle 0.33mm/29gauge (Becton, Dickinson UK Ltd)"	"Insulin"	"1ml"	"Insulin Syringe With 12mm Needle(29g)"	NA	"71190300"	"Insulin"
"9707"	"Repaglinide 1mg tablets"	"Repaglinide"	"1mg"	"Tablet"	"Oral"	"06010203"	"Repaglinide"
"9737"	"Insulatard innolet 100iu/ml Injection (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010102"	"Insulin"
"9748"	"Repaglinide 2mg tablets"	"Repaglinide"	"2mg"	"Tablet"	"Oral"	"06010203"	"Repaglinide"
"9834"	"Mylife Clickfine hypodermic insulin needles for pre-filled / reusable pen injectors snap on 12mm/29gauge (Ypsomed Ltd)"	"Insulin"	"12mm/29gauge"	"Pen Needle"	NA	"71190700"	"Insulin"
"9865"	"Repaglinide 500microgram tablets"	"Repaglinide"	"500microgram"	"Tablet"	"Oral"	"06010203"	"Repaglinide"
"10001"	"Humalog Mix50 Pen 100units/ml suspension for injection 3ml pre-filled pen (Eli Lilly and Company Ltd)"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010102"	"Insulin"
"10051"	"Pioglitazone 45mg tablets"	"Pioglitazone"	"45mg"	"Tablet"	"Oral"	"06010203"	"Pioglitazone"
"10067"	"Insulin biphasic aspart human pyr 30:70; 100 units/ml Injection"	"Insulin"	"30:70; 100 Units/ml"	"Injection"	"Intramuscular"	"06010102"	"Insulin"
"10133"	"U100 Insulin syringe 1ml"	"Insulin"	"1ml"	"Insulin Syringe"	NA	"06010103"	"Insulin"
"10145"	"Humapen luxura insulin pen 3ml/1-60 units Insulin pen 3ml/1-60 units (Eli Lilly and Company Ltd)"	"Insulin"	"3ml/1-60 Units"	"Insulin Pen"	NA	"06010103"	"Insulin"
"10175"	"Insulin isophane human 100units/ml suspension for injection 1.5ml cartridges"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"00000000"	"Insulin"
"10184"	"Insulin detemir 100 iu/ml Solution for injection"	"Insulin"	"100 Iu/ml"	"Solution For Injection"	"Intramuscular"	"06010102"	"Insulin"
"10207"	"Insulin isophane human 100units/ml suspension for injection 3ml cartridges"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010102"	"Insulin"
"10208"	"Insulatard InnoLet 100units/ml suspension for injection 3ml pre-filled pen (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"06010102"	"Insulin"
"10225"	"Lantus 100units/ml solution for injection 3ml OptiClik cartridges (Sanofi)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"06010102"	"Insulin"
"10229"	"Humulin I Pen 100units/ml suspension for injection 3ml pre-filled pen (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"06010102"	"Insulin"
"10242"	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge"	"Insulin"	"6mm/31gauge"	"Hypodermic Needle"	NA	"71190600"	"Insulin"
"10243"	"Humalog Mix25 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd)"	"Insulin"	"25unit/1ml + 75unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010102"	"Insulin"
"10244"	"Mixtard 40 Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd)"	"Insulin"	"40unit/1ml + 60unit/1ml"	"Suspension for injection"	"Subcutaneous"	"00000000"	"Insulin"
"10245"	"Mixtard 10 Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd)"	"Insulin"	"10unit/1ml + 90unit/1ml"	"Suspension for injection"	"Subcutaneous"	"00000000"	"Insulin"
"10258"	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge"	"Insulin"	"8mm/31gauge"	"Hypodermic Needle"	NA	"71190600"	"Insulin"
"10259"	"Insulin glargine 100units/ml solution for injection 10ml vials"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"06010102"	"Insulin"
"10264"	"Humalog Pen 100units/ml solution for injection 3ml pre-filled pen (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"06010101"	"Insulin"
"10277"	"Humulin M3 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd)"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010151"	"Insulin"
"10484"	"Penmix 20/80 Penfill (Novo Nordisk Ltd)"	"Insulin"	NA	"Penfill"	NA	"06010102"	"Insulin"
"10545"	"INSULIN HUMULIN M4 CARTRIDGE 100 I/U"	"Insulin"	NA	NA	NA	"00000000"	"Insulin"
"10546"	"INSULIN HUMULIN M4 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"10547"	"Humulin Lente 100units/ml suspension for injection 10ml vials (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"00000000"	"Insulin"
"10566"	"INSULIN HUMULIN M CARTRIDGE 100 I/U"	"Insulin"	NA	NA	NA	"00000000"	"Insulin"
"10572"	"Insulin soluble bovine 100unit/ml Injection"	"Insulin"	"100unit/ml"	"Injection"	"Intramuscular"	"06010101/06010300"	"Insulin"
"10691"	"INSULIN ISOPHANE (NPH) 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"10887"	"Penmix 40/60 100iu/ml Penfill (Novo Nordisk Ltd)"	"Insulin"	"100iu/ml"	"Injection"	"Intramuscular"	"06010102"	"Insulin"
"10910"	"Humaject m2 100iu/ml M2 pen (Eli Lilly and Company Ltd)"	"Insulin"	"100iu/ml"	"M2 Pen"	"Subcutaneous Injection"	"06010102"	"Insulin"
"10915"	"Humaject m1 100iu/ml M1 pen (Eli Lilly and Company Ltd)"	"Insulin"	"100iu/ml"	"M1 Pen"	"Subcutaneous Injection"	"06010102"	"Insulin"
"11055"	"Insulin biphasic isophane human pyr 20:80; 100 units/ml Injection"	"Insulin"	"20:80; 100 Units/ml"	"Injection"	"Intramuscular"	"06010102"	"Insulin"
"11056"	"Insulin biphasic isophane human pyr 30:70; 100 units/ml Injection"	"Insulin"	"30:70; 100 Units/ml"	"Injection"	"Intramuscular"	"06010102"	"Insulin"
"11080"	"Insulin isophane human prb 100iu/ml Injection"	"Insulin"	"100iu/ml"	"Injection"	"Intramuscular"	"06010102"	"Insulin"
"11086"	"B-d u-100 0.5ml Insulin syringe (Becton, Dickinson UK Ltd)"	"Insulin"	"0.5ml"	"Insulin Syringe"	NA	"06010103"	"Insulin"
"11107"	"Humulin m4 100unit/ml M4 injection (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/ml"	"M4 Injection"	"Subcutaneous Injection"	"06010102"	"Insulin"
"11245"	"B-d u-100 0.3ml Insulin syringe (Becton, Dickinson UK Ltd)"	"Insulin"	"0.3ml"	"Insulin Syringe"	NA	"06010103"	"Insulin"
"11271"	"B-d u-100 1ml Insulin syringe (Becton, Dickinson UK Ltd)"	"Insulin"	"1ml"	"Insulin Syringe"	NA	"06010103"	"Insulin"
"11284"	"Amaryl 4mg tablets (Zentiva)"	"Glimepiride"	"4mg"	"Tablet"	"Oral"	"06010201"	"Glimepiride"
"11316"	"NovoNorm 500microgram tablets (Novo Nordisk Ltd)"	"Repaglinide"	"500microgram"	"Tablet"	"Oral"	"06010203"	"Repaglinide"
"11321"	"NovoNorm 1mg tablets (Novo Nordisk Ltd)"	"Repaglinide"	"1mg"	"Tablet"	"Oral"	"06010203"	"Repaglinide"
"11337"	"NovoRapid Novolet 100units/ml solution for injection (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"00000000"	"Insulin"
"11345"	"Bd Ultra Pen 3ml Insulin pen (Becton, Dickinson UK Ltd)"	"Insulin"	"3ml"	"Insulin Pen"	NA	"06010103"	"Insulin"
"11346"	"B-d u-100 0.3ml Insulin syringe (Becton, Dickinson UK Ltd)"	"Insulin"	"0.3ml"	"Insulin Syringe"	NA	"06010103"	"Insulin"
"11366"	"NovoNorm 2mg tablets (Novo Nordisk Ltd)"	"Repaglinide"	"2mg"	"Tablet"	"Oral"	"06010203"	"Repaglinide"
"11408"	"Autopen Classic hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units (Owen Mumford Ltd)"	"Insulin"	"3ml/1-21 Units"	"Insulin Pen"	NA	"71190900"	"Insulin"
"11483"	"Nateglinide 60mg tablets"	"Nateglinide"	"60mg"	"Tablet"	"Oral"	"06010203"	"Nateglinide"
"11521"	"Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12mm needle 0.4mm/27gauge"	"Insulin"	"1ml"	"Insulin Syringe With 12mm Needle(27g)"	NA	"71190300"	"Insulin"
"11601"	"Rosiglitazone 2mg / Metformin 500mg tablets"	"Metformin/Rosiglitazone"	"2mg + 500mg"	"Tablet"	"Oral"	"00000000"	"Metformin/Rosiglitazone"
"11604"	"Rosiglitazone 1mg / Metformin 500mg tablets"	"Metformin/Rosiglitazone"	"1mg + 500mg"	"Tablet"	"Oral"	"00000000"	"Metformin/Rosiglitazone"
"11609"	"Metformin with rosiglitazone 500mg + 1mg Tablet"	"Metformin/Rosiglitazone"	"500mg + 1mg"	"Tablet"	"Oral"	"06010202/06010203"	"Metformin/Rosiglitazone"
"11610"	"Metformin with rosiglitazone 500mg + 2mg Tablet"	"Metformin/Rosiglitazone"	"500mg + 2mg"	"Tablet"	"Oral"	"06010202/06010203"	"Metformin/Rosiglitazone"
"11695"	"Diamicron 30mg MR tablets (Servier Laboratories Ltd)"	"Gliclazide"	"30mg"	"Modified-release tablet"	"Oral"	"06010201"	"Gliclazide"
"11717"	"Rosiglitazone 2mg / Metformin 1g tablets"	"Metformin/Rosiglitazone"	"2mg + 1gram"	"Tablet"	"Oral"	"00000000"	"Metformin/Rosiglitazone"
"11737"	"Metformin with rosiglitazone 1000mg + 4mg Tablet"	"Metformin/Rosiglitazone"	"1000mg + 4mg"	"Tablet"	"Oral"	"06010202/06010203"	"Metformin/Rosiglitazone"
"11760"	"Metformin with rosiglitazone 1000mg + 2mg Tablet"	"Metformin/Rosiglitazone"	"1000mg + 2mg"	"Tablet"	"Oral"	"06010202/06010203"	"Metformin/Rosiglitazone"
"11878"	"Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 8mm needle 0.3mm/30gauge"	"Insulin"	"1ml"	"Insulin Syringe With 8mm Needle(30g)"	NA	"71190300"	"Insulin"
"11946"	"Tolbutamide 50mg/ml Injection"	"Tolbutamide"	"50mg/ml"	"Injection"	"Intramuscular"	"06010201"	"Tolbutamide"
"11990"	"Metformin 500mg/5ml oral solution sugar free"	"Metformin"	"100mg/1ml"	"Oral solution"	"Oral"	"06010202"	"Metformin"
"12035"	"Insulin zinc mixed bovine 100units/ml suspension for injection 10ml vials"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010102"	"Insulin"
"12060"	"INSULIN QUICKSOL (SOLUBLE NEUTRAL) 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"12244"	"INSULIN ZINC BOVINE susp 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"12297"	"Hypurin bovine neutral 100unit/ml Injection (C P Pharmaceuticals Ltd)"	"Insulin"	"100unit/ml"	"Injection"	"Subcutaneous Injection"	"06010101/06010300"	"Insulin"
"12299"	"Semitard mc 100unit/ml Injection (Novo Nordisk Ltd)"	"Insulin"	"100unit/ml"	"Injection"	"Intramuscular"	"06010102"	"Insulin"
"12300"	"SYRINGE INSULIN (BS1619/1) 2ML"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"12455"	"Rastinon 500mg Tablet (Hoechst Marion Roussel)"	"Tolbutamide"	"500mg"	"Tablet"	"Oral"	"06010201"	"Tolbutamide"
"12513"	"Glibenese 5mg tablets (Pfizer Ltd)"	"Glipizide"	"5mg"	"Tablet"	"Oral"	"06010201"	"Glipizide"
"12638"	"Insulin soluble human pyr 100unit/ml Injection"	"Insulin"	"100unit/ml"	"Injection"	"Intramuscular"	"06010101/06010300"	"Insulin"
"12654"	"Insulin soluble human prb 100unit/ml Injection"	"Insulin"	"100unit/ml"	"Injection"	"Intramuscular"	"06010101/06010300"	"Insulin"
"12818"	"Human Mixtard 50 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd)"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Suspension for injection"	"Subcutaneous"	"00000000"	"Insulin"
"12840"	"B-d u-100 0.5ml Insulin syringe (Becton, Dickinson UK Ltd)"	"Insulin"	"0.5ml"	"Insulin Syringe"	NA	"06010103"	"Insulin"
"12892"	"Clinipak u100 single use ins syr+12mm need28g 0.5ml [rand] 0.5ml Insulin syringe with 28gauge needle 12mm (Rand Rocket Ltd)"	"Insulin"	"0.5ml"	"Insulin Syringe With 28gauge Needle 12mm"	NA	"06010103"	"Insulin"
"13009"	"Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12mm needle 0.36mm/28gauge"	"Insulin"	"0.5ml"	"Insulin Syringe With 12mm Needle(28g)"	NA	"71190300"	"Insulin"
"13036"	"Unifine hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12mm needle 0.33mm/29gauge (Owen Mumford Ltd)"	"Insulin"	"0.5ml"	"Insulin Syringe With 12mm Needle(29g)"	NA	"71190300"	"Insulin"
"13096"	"Autopen hypodermic insulin injection pen reusable for 1.5ml cartridge 2 unit dial up / range 2-32 units (Owen Mumford Ltd)"	"Insulin"	"1.5ml/2-32 Units"	"Insulin Pen"	NA	"00000000"	"Insulin"
"13108"	"Autopen Special Edition hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units (Owen Mumford Ltd)"	"Insulin"	"3ml/1-21 Units"	"Insulin Pen"	NA	"00000000"	"Insulin"
"13274"	"Clinipak u100 single use ins syr+12mm need28g 1ml [rand] 1ml Insulin syringe with 28gauge needle 12mm (Rand Rocket Ltd)"	"Insulin"	"1ml"	"Insulin Syringe With 28gauge Needle 12mm"	NA	"06010103"	"Insulin"
"13277"	"Mixtard 50 Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd)"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Suspension for injection"	"Subcutaneous"	"00000000"	"Insulin"
"13331"	"Euglucon 5mg tablets (Sanofi)"	"Glibenclamide"	"5mg"	"Tablet"	"Oral"	"06010201"	"Glibenclamide"
"13416"	"Insulin biphasic 100 units/ml Injection"	"Insulin"	"100 Units/ml"	"Injection"	"Intramuscular"	"06010102"	"Insulin"
"13474"	"U100 Insulin syringe Sp.36 [2A] 1ml"	"Insulin"	"1ml"	"Insulin Syringe"	NA	"06010103"	"Insulin"
"13516"	"Hypurin bovine isophane 100unit/ml Injection (C P Pharmaceuticals Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"06010102"	"Insulin"
"13550"	"INSULIN BP 100 I/U"	"Insulin"	NA	NA	NA	"00000000"	"Insulin"
"13622"	"Hypurin porcine neutral 100unit/ml Injection (C P Pharmaceuticals Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous/Intramuscular"	"06010101/06010300"	"Insulin"
"13729"	"Insulin isophane human emp 100unit/ml Injection"	"Insulin"	"100unit/ml"	"Injection"	"Intramuscular"	"06010102"	"Insulin"
"13819"	"Hypurin Porcine Isophane 100units/ml suspension for injection 1.5ml cartridges (C P Pharmaceuticals Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"00000000"	"Insulin"
"13837"	"Insulin biphasic isophane human prb 10:90; 100 units/ml Injection"	"Insulin"	"10:90; 100 Units/ml"	"Injection"	"Intramuscular"	"06010102"	"Insulin"
"13969"	"U100 Insulin syringe 0.3ml"	"Insulin"	"0.3ml"	"Insulin Syringe"	NA	"06010103"	"Insulin"
"14164"	"Avandamet 2mg/1000mg tablets (GlaxoSmithKline UK Ltd)"	"Metformin/Rosiglitazone"	"2mg + 1gram"	"Tablet"	"Oral"	"00000000"	"Metformin/Rosiglitazone"
"14191"	"Autopen Junior hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units (Owen Mumford Ltd)"	"Insulin"	"3ml/2-42 Units"	"Insulin Pen"	NA	"00000000"	"Insulin"
